Title,Abstract,Authors,Year,DOI,Keywords,Publication Venue,Document Type,Source Database,PDF Link,record_id,Title_norm,search_text,Exclude_Reason,Priority_Flag,Exclude_Flag,TOPIC,AUTHOR,YEAR,APA FORMAT
AI-assisted feedback and reflection in vocal music training: effects on metacognition and singing performance,"Introduction: Metacognition plays a vital role in enhancing learning outcomes and has received increasing attention in recent years. Studies have shown that accomplished musicians typically demonstrate high levels of metacognition, and that reflection and feedback are effective strategies for promoting metacognitive development. This study explores the impact of integrating artificial intelligence (AI) and e-learning tools into vocal music training. It focuses on feedback and reflection interventions aimed at enhancing the metacognitive abilities and singing performance of pre-service teachers. Methods: An experimental design was employed over a six-week training period. Participants were randomly divided into a control group (N = 42), which received conventional singing instruction, and an experimental group (N = 38), which received additional interventions comprising: (a) self-assessment through the use of an audio comparison tool, (b) dialogic feedback through interaction with a large language model (Yuanbao, Tencent’s generative AI chatbot), and (c) engagement in self-reflective journal writing. A two-way repeated measures ANOVA was employed to examine the interaction effects between time (pre-test vs. post-test) and group (experimental vs. control). In addition, linear mixed models were used to analyse the relationship between metacognitive abilities and singing performance. Results: The results demonstrated that AI-assisted training significantly affects the development of metacognitive abilities. While both the experimental and control groups exhibited significant improvements in singing performance following the intervention, no significant interaction effect between the group and time was detected. No correlation was found between metacognition and singing performance. Discussion: The significance of this study is its provision of an effective implementation framework for integrating AI and e-learning tools into music instructional practice. These technologies offer high-quality personalized feedback and foster deep reflective engagement, thereby supporting the metacognitive development process in music education contexts.",Li W.,2025,10.3389/fpsyg.2025.1598867,AI-assisted music learning | feedback | metacognition | pre-service teachers | reflection | vocal music training,Scopus,Article,Scopus,,3632,aiassisted feedback and reflection in vocal music training effects on metacognition and singing performance,"ai-assisted feedback and reflection in vocal music training: effects on metacognition and singing performance introduction: metacognition plays a vital role in enhancing learning outcomes and has received increasing attention in recent years. studies have shown that accomplished musicians typically demonstrate high levels of metacognition, and that reflection and feedback are effective strategies for promoting metacognitive development. this study explores the impact of integrating artificial intelligence (ai) and e-learning tools into vocal music training. it focuses on feedback and reflection interventions aimed at enhancing the metacognitive abilities and singing performance of pre-service teachers. methods: an experimental design was employed over a six-week training period. participants were randomly divided into a control group (n = 42), which received conventional singing instruction, and an experimental group (n = 38), which received additional interventions comprising: (a) self-assessment through the use of an audio comparison tool, (b) dialogic feedback through interaction with a large language model (yuanbao, tencent’s generative ai chatbot), and (c) engagement in self-reflective journal writing. a two-way repeated measures anova was employed to examine the interaction effects between time (pre-test vs. post-test) and group (experimental vs. control). in addition, linear mixed models were used to analyse the relationship between metacognitive abilities and singing performance. results: the results demonstrated that ai-assisted training significantly affects the development of metacognitive abilities. while both the experimental and control groups exhibited significant improvements in singing performance following the intervention, no significant interaction effect between the group and time was detected. no correlation was found between metacognition and singing performance. discussion: the significance of this study is its provision of an effective implementation framework for integrating ai and e-learning tools into music instructional practice. these technologies offer high-quality personalized feedback and foster deep reflective engagement, thereby supporting the metacognitive development process in music education contexts. ai-assisted music learning | feedback | metacognition | pre-service teachers | reflection | vocal music training",,True,False,AI-Assisted Feedback and Reflection in Vocal Music Training: Effects on Metacognition and Singing Performance,"Li, W., Cui, X., Manoharan, P., Dai, L., Liu, K., & Huang, L.",2025.0,"Li, W., Cui, X., Manoharan, P., Dai, L., Liu, K., & Huang, L. (2025). AI-assisted feedback and reflection in vocal music training: Effects on metacognition and singing performance. Frontiers in Psychology, 16, 1598867. https://doi.org/10.3389/fpsyg.2025.1598867 "
Interactive Singing Melody Extraction Based on Active Adaptation,"Extraction of predominant pitch from polyphonic audio is one of the fundamental tasks in the field of music information retrieval and computational musicology. To accomplish this task using machine learning, a large amount of labeled audio data is required to train the model. Moreover, a classical model pre-trained on data from one domain (source), e.g., songs of a particular singer or genre, may not perform comparatively well in extracting melody from songs of a different singer or genre in other domains (target). The performance of such models can be boosted by adapting the model using very little annotated data from the target domain. In this work, we propose an efficient interactive melody adaptation method. Our method selects the regions in the target audio that require human annotation using a confidence criterion based on normalized true class probability. The annotations are used by the model to adapt itself to the target domain using meta-learning. Our method also provides a novel meta-learning approach that handles class imbalance, i.e., a few representative samples from a few classes are available for adaptation in the target domain. Experimental results show that the proposed method outperforms other adaptive melody extraction baselines. The proposed method is model-agnostic and hence can be applied to other non-adaptive melody extraction models to boost their performance. Also, we released a Hindustani Alankaar and Raga (HAR) dataset containing 523 audio files of about 6.86 hours of duration intended for singing melody extraction tasks.",Saxena K.R.,2024,10.1109/TASLP.2024.3399614,active learning | domain adaptation | Melody extraction | model agnostic meta-learning,Scopus,Article,Scopus,,5370,interactive singing melody extraction based on active adaptation,"interactive singing melody extraction based on active adaptation extraction of predominant pitch from polyphonic audio is one of the fundamental tasks in the field of music information retrieval and computational musicology. to accomplish this task using machine learning, a large amount of labeled audio data is required to train the model. moreover, a classical model pre-trained on data from one domain (source), e.g., songs of a particular singer or genre, may not perform comparatively well in extracting melody from songs of a different singer or genre in other domains (target). the performance of such models can be boosted by adapting the model using very little annotated data from the target domain. in this work, we propose an efficient interactive melody adaptation method. our method selects the regions in the target audio that require human annotation using a confidence criterion based on normalized true class probability. the annotations are used by the model to adapt itself to the target domain using meta-learning. our method also provides a novel meta-learning approach that handles class imbalance, i.e., a few representative samples from a few classes are available for adaptation in the target domain. experimental results show that the proposed method outperforms other adaptive melody extraction baselines. the proposed method is model-agnostic and hence can be applied to other non-adaptive melody extraction models to boost their performance. also, we released a hindustani alankaar and raga (har) dataset containing 523 audio files of about 6.86 hours of duration intended for singing melody extraction tasks. active learning | domain adaptation | melody extraction | model agnostic meta-learning",musicology,True,True,Interactive Singing Melody Extraction Based on Active Adaptation,"Saxena, K. R., & Arora, V.",2024.0,"Saxena, K. R., & Arora, V. (2024). Interactive singing melody extraction based on active adaptation. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 32, 2729–2742. https://doi.org/10.1109/TASLP.2024.3399614"
An objective evaluation method of vocal singing effect based on artificial intelligence technology,"The continuous progress of artificial intelligence technology has shown great potential for application in several fields, especially music. The research direction of Objective Evaluation of Vocal Singing Effectiveness uses advanced technologies to analyze and assess a singer's performance across multiple dimensions, including pitch, rhythm, and timbre, and is highly valuable. Building an accurate and fair evaluation system faces many challenges, including how to accurately capture and analyze the subtle changes in the voice and synthesize the effects of different musical elements on the quality of the performance. This requires researchers to explore music theory, sound analysis techniques, and artificial intelligence algorithms, and develop a new methodology that can comprehensively evaluate the effectiveness of vocal singing. This paper constructs a complete set of vocal singing evaluation models by analyzing acoustic feature extraction, Hidden Markov Model, and Generalized Regression Radial Basis Function Network in detail. The study adopts a logarithmic Mel spectrum for acoustic feature extraction to effectively capture the essential attributes of the singing voice. Hidden Markov models and mixed Gaussian models are used to model the sound signal, improving phoneme recognition accuracy. Accurate singing effect was evaluated using a generalized regression radial basis function network. In this article, the accuracy of this evaluation method in terms of pitch, rhythm, and timbre reached 95%, 93%, and 89%, respectively, demonstrating high evaluation consistency and reliability. The research method provides a new objective evaluation tool for vocal singing effects, which is valuable for vocal teaching and self-practice.",Huang D.,2024,10.2478/amns-2024-0865,Acoustic Feature Extraction | Artificial Intelligence | Hidden Markov Models | Vocal Singing,Scopus,Article,Scopus,,5395,an objective evaluation method of vocal singing effect based on artificial intelligence technology,"an objective evaluation method of vocal singing effect based on artificial intelligence technology the continuous progress of artificial intelligence technology has shown great potential for application in several fields, especially music. the research direction of objective evaluation of vocal singing effectiveness uses advanced technologies to analyze and assess a singer's performance across multiple dimensions, including pitch, rhythm, and timbre, and is highly valuable. building an accurate and fair evaluation system faces many challenges, including how to accurately capture and analyze the subtle changes in the voice and synthesize the effects of different musical elements on the quality of the performance. this requires researchers to explore music theory, sound analysis techniques, and artificial intelligence algorithms, and develop a new methodology that can comprehensively evaluate the effectiveness of vocal singing. this paper constructs a complete set of vocal singing evaluation models by analyzing acoustic feature extraction, hidden markov model, and generalized regression radial basis function network in detail. the study adopts a logarithmic mel spectrum for acoustic feature extraction to effectively capture the essential attributes of the singing voice. hidden markov models and mixed gaussian models are used to model the sound signal, improving phoneme recognition accuracy. accurate singing effect was evaluated using a generalized regression radial basis function network. in this article, the accuracy of this evaluation method in terms of pitch, rhythm, and timbre reached 95%, 93%, and 89%, respectively, demonstrating high evaluation consistency and reliability. the research method provides a new objective evaluation tool for vocal singing effects, which is valuable for vocal teaching and self-practice. acoustic feature extraction | artificial intelligence | hidden markov models | vocal singing",,True,False,An objective evaluation method of vocal singing effect based on artificial intelligence technology,"Huang, D.",2024.0,"Huang, D. (2024). An objective evaluation method of vocal singing effect based on artificial intelligence technology. Applied Mathematics and Nonlinear Sciences, 9(1), 1–13. https://doi.org/10.2478/amns-2024-0865"
Note-level singing melody transcription with transformers,"Recognizing a singing melody from an audio signal in terms of the music notes’ pitch onset and offset, referred to as note-level singing melody transcription, has been studied as a critical task in the field of automatic music transcription. The task is challenging due to the different timbre and vibrato of each vocal and the ambiguity of onset and offset of the human voice compared with other instrumental sounds. This paper proposes a note-level singing melody transcription model using sequence-to-sequence Transformers. The singing melody annotation is expressed as a monophonic melody sequence and used as a decoder sequence. Overlapping decoding is introduced to solve the problem of the context between segments being broken. Applying pitch augmentation and and adding noisy dataset with data cleansing turns out to be effective in preventing overfitting and generalizing the model performance. Ablation studies demonstrate the effects of the proposed techniques in note-level singing melody transcription, both quantitatively and qualitatively. The proposed model outperforms other models in note-level singing melody transcription performance for all the metrics considered. For fundamental frequency metrics, the voice detection performance of the proposed model is comparable to that of a vocal melody extraction model. Finally, subjective human evaluation demonstrates that the results of the proposed models are perceived as more accurate than the results of a previous study.",Park J.,2023,10.3233/IDA-227077,Automatic music transcription | deep learning | music information retrieval | sequence-to-sequence learning | singing melody transcription,Scopus,Article,Scopus,,5786,notelevel singing melody transcription with transformers,"note-level singing melody transcription with transformers recognizing a singing melody from an audio signal in terms of the music notes’ pitch onset and offset, referred to as note-level singing melody transcription, has been studied as a critical task in the field of automatic music transcription. the task is challenging due to the different timbre and vibrato of each vocal and the ambiguity of onset and offset of the human voice compared with other instrumental sounds. this paper proposes a note-level singing melody transcription model using sequence-to-sequence transformers. the singing melody annotation is expressed as a monophonic melody sequence and used as a decoder sequence. overlapping decoding is introduced to solve the problem of the context between segments being broken. applying pitch augmentation and and adding noisy dataset with data cleansing turns out to be effective in preventing overfitting and generalizing the model performance. ablation studies demonstrate the effects of the proposed techniques in note-level singing melody transcription, both quantitatively and qualitatively. the proposed model outperforms other models in note-level singing melody transcription performance for all the metrics considered. for fundamental frequency metrics, the voice detection performance of the proposed model is comparable to that of a vocal melody extraction model. finally, subjective human evaluation demonstrates that the results of the proposed models are perceived as more accurate than the results of a previous study. automatic music transcription | deep learning | music information retrieval | sequence-to-sequence learning | singing melody transcription",,True,False,Note-level singing melody transcription with transformers,"Park, J., Choi, K., Oh, S., Kim, L., & Park, J.",2023.0,"Park, J., Choi, K., Oh, S., Kim, L., & Park, J. (2023). Note-level singing melody transcription with transformers. Intelligent Data Analysis, 27(5), 1231–1250. https://doi.org/10.3233/IDA-220053"
DAACI-VoDAn: Improving Vocal Detection with New Data and Methods,"Vocal detection (VD) algorithms aim to detect the presence of vocals in music recordings and are an essential pre-processing step for other tasks, including singer identification and lyrics transcription. However, the lack of large-scale annotated datasets has slowed down research in the field, in particular w.r.t. the application of modern deep learning methods. This paper introduces DAACI-VoDAn, a novel dataset for VD that contains 706 full-length music tracks and vocal segment annotations. In addition, we propose a new method for the task that outperforms state of the art methods on DAACI-VoDAn as well as on an existing VD dataset. Our approach combines a convolutional head, that is pre-trained on large amounts of weakly-labeled data, with a temporal-convolutional architecture which models the occurrence of two-dimensional patterns over time.",Cuesta H.,2023,10.23919/EUSIPCO58844.2023.10289758,,Scopus,Conference Paper,Scopus,,6351,daacivodan improving vocal detection with new data and methods,"daaci-vodan: improving vocal detection with new data and methods vocal detection (vd) algorithms aim to detect the presence of vocals in music recordings and are an essential pre-processing step for other tasks, including singer identification and lyrics transcription. however, the lack of large-scale annotated datasets has slowed down research in the field, in particular w.r.t. the application of modern deep learning methods. this paper introduces daaci-vodan, a novel dataset for vd that contains 706 full-length music tracks and vocal segment annotations. in addition, we propose a new method for the task that outperforms state of the art methods on daaci-vodan as well as on an existing vd dataset. our approach combines a convolutional head, that is pre-trained on large amounts of weakly-labeled data, with a temporal-convolutional architecture which models the occurrence of two-dimensional patterns over time. ",,False,False,DAACI-VoDAn: Improving Vocal Detection with New Data and Methods,"Cuesta, H., Kroher, N., Pikrakis, A., & Djordjevic, S.",2023.0,"Cuesta, H., Kroher, N., Pikrakis, A., & Djordjevic, S. (2023). DAACI-VoDAn: Improving vocal detection with new data and methods. Proceedings of the 31st European Signal Processing Conference (EUSIPCO), 66–70. https://ieeexplore-ieee-org.dlsu.idm.oclc.org/document/10289758 "
MuSE-SVS: Multi-Singer Emotional Singing Voice Synthesizer That Controls Emotional Intensity,"We propose a multi-singer emotional singing voice synthesizer, Muse-SVS, that expresses emotion at various intensity levels by controlling subtle changes in pitch, energy, and phoneme duration while accurately following the score. To control multiple style attributes while avoiding loss of fidelity and expressiveness due to interference between the attributes, Muse-SVS represents all attributes and their relations together by a joint embedding in a unified embedding space. Muse-SVS can express emotional intensity levels not included in the training data through embedding interpolation and extrapolation. We also propose a statistical pitch predictor to express pitch variation according to emotional intensity, and a context-aware residual duration predictor to prevent the accumulation of phoneme-level duration prediction errors, which is crucial for synchronization with instrumental parts. In addition, we propose a novel ASPP-Transformer, which combines atrous spatial pyramid pooling (ASPP) and Transformer, to improve fidelity and expressiveness by referring to broad contexts. In experiments, Muse-SVS exhibited improved fidelity, expressiveness, and synchronization performance compared with baseline models. The visualization results show that Muse-SVS effectively express the variation in pitch, energy, and phoneme duration according to emotional intensity. To the best of our knowledge, Muse-SVS is the first neural SVS capable of controlling emotional intensity.",Kim S.,2023,10.1109/TASLP.2023.3294712,ASPP-Transformer | context-aware duration predictor | deep learning | singing voice synthesis | speech processing | statistical pitch predictor | unified embedding space,Scopus,Article,Scopus,,6538,musesvs multisinger emotional singing voice synthesizer that controls emotional intensity,"muse-svs: multi-singer emotional singing voice synthesizer that controls emotional intensity we propose a multi-singer emotional singing voice synthesizer, muse-svs, that expresses emotion at various intensity levels by controlling subtle changes in pitch, energy, and phoneme duration while accurately following the score. to control multiple style attributes while avoiding loss of fidelity and expressiveness due to interference between the attributes, muse-svs represents all attributes and their relations together by a joint embedding in a unified embedding space. muse-svs can express emotional intensity levels not included in the training data through embedding interpolation and extrapolation. we also propose a statistical pitch predictor to express pitch variation according to emotional intensity, and a context-aware residual duration predictor to prevent the accumulation of phoneme-level duration prediction errors, which is crucial for synchronization with instrumental parts. in addition, we propose a novel aspp-transformer, which combines atrous spatial pyramid pooling (aspp) and transformer, to improve fidelity and expressiveness by referring to broad contexts. in experiments, muse-svs exhibited improved fidelity, expressiveness, and synchronization performance compared with baseline models. the visualization results show that muse-svs effectively express the variation in pitch, energy, and phoneme duration according to emotional intensity. to the best of our knowledge, muse-svs is the first neural svs capable of controlling emotional intensity. aspp-transformer | context-aware duration predictor | deep learning | singing voice synthesis | speech processing | statistical pitch predictor | unified embedding space",,True,False,MuSE-SVS: Multi-Singer Emotional Singing Voice Synthesizer that Controls Emotional Intensity,"Kim, M., Choi, J., Kim, H., & Lee, K.",2023.0,"Kim, M., Choi, J., Kim, H., & Lee, K. (2023). MuSE-SVS: Multi-singer emotional singing voice synthesizer that controls emotional intensity. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 31, 1–15. https://ieeexplore-ieee-org.dlsu.idm.oclc.org/document/10179970 "
Unsupervised Music Source Separation Using Differentiable Parametric Source Models,"Supervised deep learning approaches to underdetermined audio source separation achieve state-of-the-art performance but require a dataset of mixtures along with their corresponding isolated source signals. Such datasets can be extremely costly to obtain for musical mixtures. This raises a need for unsupervised methods. We propose a novel unsupervised model-based deep learning approach to musical source separation. Each source is modelled with a differentiable parametric source-filter model. A neural network is trained to reconstruct the observed mixture as a sum of the sources by estimating the source models' parameters given their fundamental frequencies. At test time, soft masks are obtained from the synthesized source signals. The experimental evaluation on a vocal ensemble separation task shows that the proposed method outperforms learning-free methods based on nonnegative matrix factorization and a supervised deep learning baseline. Integrating domain knowledge in the form of source models into a data-driven method leads to high data efficiency: the proposed approach achieves good separation quality even when trained on less than three minutes of audio. This work makes powerful deep learning based separation usable in scenarios where training data with ground truth is expensive or nonexistent.",Schulze-Forster K.,2023,10.1109/TASLP.2023.3252272,audio source separation | deep learning | model-based | signal processing | Unsupervised learning,Scopus,Article,Scopus,,6648,unsupervised music source separation using differentiable parametric source models,"unsupervised music source separation using differentiable parametric source models supervised deep learning approaches to underdetermined audio source separation achieve state-of-the-art performance but require a dataset of mixtures along with their corresponding isolated source signals. such datasets can be extremely costly to obtain for musical mixtures. this raises a need for unsupervised methods. we propose a novel unsupervised model-based deep learning approach to musical source separation. each source is modelled with a differentiable parametric source-filter model. a neural network is trained to reconstruct the observed mixture as a sum of the sources by estimating the source models' parameters given their fundamental frequencies. at test time, soft masks are obtained from the synthesized source signals. the experimental evaluation on a vocal ensemble separation task shows that the proposed method outperforms learning-free methods based on nonnegative matrix factorization and a supervised deep learning baseline. integrating domain knowledge in the form of source models into a data-driven method leads to high data efficiency: the proposed approach achieves good separation quality even when trained on less than three minutes of audio. this work makes powerful deep learning based separation usable in scenarios where training data with ground truth is expensive or nonexistent. audio source separation | deep learning | model-based | signal processing | unsupervised learning",,True,False,Unsupervised Music Source Separation Using Differentiable Parametric Source Models,"Schulze-Forster, K., Richard, G., Kelley, L., Doire, C. S. J., & Badeau, R.",2023.0,"Schulze-Forster, K., Richard, G., Kelley, L., Doire, C. S. J., & Badeau, R. (2023). Unsupervised Music Source Separation Using Differentiable Parametric Source Models. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 31, 1276–1289. https://doi.org/10.1109/TASLP.2023.3252272 "
"A Deep-Learning Based Framework for Source Separation, Analysis, and Synthesis of Choral Ensembles","Choral singing in the soprano, alto, tenor and bass (SATB) format is a widely practiced and studied art form with significant cultural importance. Despite the popularity of the choral setting, it has received little attention in the field of Music Information Retrieval. However, the recent publication of high-quality choral singing datasets as well as recent developments in deep learning based methodologies applied to the field of music and speech processing, have opened new avenues for research in this field. In this paper, we use some of the publicly available choral singing datasets to train and evaluate state-of-the-art source separation algorithms from the speech and music domains for the case of choral singing. Furthermore, we evaluate existing monophonic F0 estimators on the separated unison stems and propose an approximation of the perceived F0 of a unison signal. Additionally, we present a set of applications combining the proposed methodologies, including synthesizing a single singer voice from the unison, and transposing and remixing the separated stems into a synthetic multi-singer choral signal. We finally conduct a set of listening tests to perform a perceptual evaluation of the results we obtain with the proposed methodologies.",Chandna P.,2022,10.3389/frsip.2022.808594,audio signal processing | choral singing | deep learning | singing synthesis | source separation | unison,Scopus,Article,Scopus,,7217,a deeplearning based framework for source separation analysis and synthesis of choral ensembles,"a deep-learning based framework for source separation, analysis, and synthesis of choral ensembles choral singing in the soprano, alto, tenor and bass (satb) format is a widely practiced and studied art form with significant cultural importance. despite the popularity of the choral setting, it has received little attention in the field of music information retrieval. however, the recent publication of high-quality choral singing datasets as well as recent developments in deep learning based methodologies applied to the field of music and speech processing, have opened new avenues for research in this field. in this paper, we use some of the publicly available choral singing datasets to train and evaluate state-of-the-art source separation algorithms from the speech and music domains for the case of choral singing. furthermore, we evaluate existing monophonic f0 estimators on the separated unison stems and propose an approximation of the perceived f0 of a unison signal. additionally, we present a set of applications combining the proposed methodologies, including synthesizing a single singer voice from the unison, and transposing and remixing the separated stems into a synthetic multi-singer choral signal. we finally conduct a set of listening tests to perform a perceptual evaluation of the results we obtain with the proposed methodologies. audio signal processing | choral singing | deep learning | singing synthesis | source separation | unison",,True,False,"A Deep-Learning Based Framework for Source Separation, Analysis, and Synthesis of Choral Ensembles","Chandna, P., Cuesta, H., Petermann, D., & Gómez, E.",2022.0,"Chandna, P., Cuesta, H., Petermann, D., & Gómez, E. (2022). A Deep-Learning Based Framework for Source Separation, Analysis, and Synthesis of Choral Ensembles. Frontiers in Signal Processing, 2, Article 808594. https://doi.org/10.3389/frsip.2022.808594 "
"A Deep-Learning Based Framework for Source Separation, Analysis, and Synthesis of Choral Ensembles","Choral singing in the soprano, alto, tenor and bass (SATB) format is a widely practiced and studied art form with significant cultural importance. Despite the popularity of the choral setting, it has received little attention in the field of Music Information Retrieval. However, the recent publication of high-quality choral singing datasets as well as recent developments in deep learning based methodologies applied to the field of music and speech processing, have opened new avenues for research in this field. In this paper, we use some of the publicly available choral singing datasets to train and evaluate state-of-the-art source separation algorithms from the speech and music domains for the case of choral singing. Furthermore, we evaluate existing monophonic F0 estimators on the separated unison stems and propose an approximation of the perceived F0 of a unison signal. Additionally, we present a set of applications combining the proposed methodologies, including synthesizing a single singer voice from the unison, and transposing and remixing the separated stems into a synthetic multi-singer choral signal. We finally conduct a set of listening tests to perform a perceptual evaluation of the results we obtain with the proposed methodologies.",Chandna P.,2022,10.3389/frsip.2022.808594,audio signal processing | choral singing | deep learning | singing synthesis | source separation | unison,Scopus,Article,Scopus,,7217,a deeplearning based framework for source separation analysis and synthesis of choral ensembles,"a deep-learning based framework for source separation, analysis, and synthesis of choral ensembles choral singing in the soprano, alto, tenor and bass (satb) format is a widely practiced and studied art form with significant cultural importance. despite the popularity of the choral setting, it has received little attention in the field of music information retrieval. however, the recent publication of high-quality choral singing datasets as well as recent developments in deep learning based methodologies applied to the field of music and speech processing, have opened new avenues for research in this field. in this paper, we use some of the publicly available choral singing datasets to train and evaluate state-of-the-art source separation algorithms from the speech and music domains for the case of choral singing. furthermore, we evaluate existing monophonic f0 estimators on the separated unison stems and propose an approximation of the perceived f0 of a unison signal. additionally, we present a set of applications combining the proposed methodologies, including synthesizing a single singer voice from the unison, and transposing and remixing the separated stems into a synthetic multi-singer choral signal. we finally conduct a set of listening tests to perform a perceptual evaluation of the results we obtain with the proposed methodologies. audio signal processing | choral singing | deep learning | singing synthesis | source separation | unison",,True,False,"A Deep-Learning Based Framework for Source Separation, Analysis, and Synthesis of Choral Ensembles","Chandna, P., Cuesta, H., Petermann, D., & Gómez, E.",2022.0,"Chandna, P., Cuesta, H., Petermann, D., & Gómez, E. (2022). A deep-learning based framework for source separation, analysis, and synthesis of choral ensembles. Frontiers in Signal Processing, 2, 808594. https://doi.org/10.3389/frsip.2022.808594"
Comparing Deep Models and Evaluation Strategies for Multi-Pitch Estimation in Music Recordings,"Extracting pitch information from music recordings is a challenging but important problem in music signal processing. Frame-wise transcription or multi-pitch estimation aims for detecting the simultaneous activity of pitches in polyphonic music recordings and has recently seen major improvements thanks to deep-learning techniques, with a variety of proposed model architectures. In this paper, we compare different architectures based on convolutional neural networks, the U-net structure, and self-attention components. We propose several modifications to these architectures including self-attention modules for skip connections, recurrent layers to replace the self-attention, and a multi-task strategy with simultaneous prediction of the degree of polyphony. We compare variants of these architectures in different sizes for multi-pitch estimation, focusing on Western classical music beyond the piano-solo scenario using the MusicNet and Schubert Winterreise datasets. Our experiments indicate that most architectures yield competitive results and that larger model variants seem to be beneficial. However, we find that these results substantially depend on randomization effects and the particular choice of the training-test split, which questions the claim of superiority for particular architectures given only small improvements. We therefore investigate the influence of dataset splits in the presence of several movements of a work cycle (cross-version evaluation) and propose a best-practice evaluation strategy for MusicNet, which weakens the influence of individual test tracks and suppresses overfitting to specific works and recording conditions. A final cross-dataset evaluation suggests that improvements on one specific dataset do not necessarily generalize to other scenarios, thus emphasizing the need for further high-quality multi-pitch datasets in order to reliably measure progress in music transcription tasks.",Weis C.,2022,10.1109/TASLP.2022.3200547,cross-version evaluation | generalization | Music information retrieval | music transcription | U-net,Scopus,Article,Scopus,,7346,comparing deep models and evaluation strategies for multipitch estimation in music recordings,"comparing deep models and evaluation strategies for multi-pitch estimation in music recordings extracting pitch information from music recordings is a challenging but important problem in music signal processing. frame-wise transcription or multi-pitch estimation aims for detecting the simultaneous activity of pitches in polyphonic music recordings and has recently seen major improvements thanks to deep-learning techniques, with a variety of proposed model architectures. in this paper, we compare different architectures based on convolutional neural networks, the u-net structure, and self-attention components. we propose several modifications to these architectures including self-attention modules for skip connections, recurrent layers to replace the self-attention, and a multi-task strategy with simultaneous prediction of the degree of polyphony. we compare variants of these architectures in different sizes for multi-pitch estimation, focusing on western classical music beyond the piano-solo scenario using the musicnet and schubert winterreise datasets. our experiments indicate that most architectures yield competitive results and that larger model variants seem to be beneficial. however, we find that these results substantially depend on randomization effects and the particular choice of the training-test split, which questions the claim of superiority for particular architectures given only small improvements. we therefore investigate the influence of dataset splits in the presence of several movements of a work cycle (cross-version evaluation) and propose a best-practice evaluation strategy for musicnet, which weakens the influence of individual test tracks and suppresses overfitting to specific works and recording conditions. a final cross-dataset evaluation suggests that improvements on one specific dataset do not necessarily generalize to other scenarios, thus emphasizing the need for further high-quality multi-pitch datasets in order to reliably measure progress in music transcription tasks. cross-version evaluation | generalization | music information retrieval | music transcription | u-net",,True,False,Comparing Deep Models and Evaluation Strategies for Multi-Pitch Estimation in Music Recordings,"Weiss, C., Schreiber, H., & Müller, M.",2022.0,"Weiss, C., Schreiber, H., & Müller, M. (2022). Comparing deep models and evaluation strategies for multi-pitch estimation in music recordings. Transactions of the International Society for Music Information Retrieval (TISMIR), 5(1), 1–16. https://ieeexplore-ieee-org.dlsu.idm.oclc.org/document/9865174 "
