AUTHOR,YEAR,TOPIC,METHODOLOGY,DATASET,APA FORMAT,Researched by:
"Rozenweig, S.",2022,Interactive Signal Processing Tools for Analyzing Multitrack Singing Voice Recordings,"- Computational tools from signal processing, computer science, and music information retrieval (MIR)
- Time-scale modification (TSM) and resampling techniques for time-varying pitch shifts
- Fusing outputs of several F0-estimation algorithms for reliability assessment
- Musically motivated filtering techniques for stable region detection and pitch drift compensation
- Interactive feedback mechanisms for incorporating musical knowledge
- Morphological operations and binary time-frequency masks for removing pitch slides and frequency fluctuations","- Dagstuhl ChoirSet: Western choral music, focusing on intonation control.
- Erkomaishvili dataset: Traditional Georgian singing, focusing on pitch slides and harmonic intervals.
- Zär corpus: Traditional Georgian funeral songs, focusing on pitch drift correction and harmonic interval analysis.","Rosenzweig, S. (2022). Interactive Signal Processing Tools for Analyzing Multitrack Singing Voice Recordings [Doctoral dissertation, Friedrich-Alexander-Universität Erlangen-Nürnberg]. University Library of Erlangen-Nuremberg.",Dana
"Gu, X., Ou, L., Zeng, W., Zhang, J., Wong, N., & Wang, Y.",2024,Automatic Lyric Transcription and Automatic Music Transcription from Multimodal Singing,"- General framework for multimodal ALT and AMT systems
- Adaptation of self-supervised learning (SSL) models from speech domain
- Residual cross-attention mechanism for feature integration
- Sequence-to-sequence (S2S) problems for ALT and AMT
- Hybrid CTC-Attention for ALT
- Frame-level classification for AMT
- Two-stage training approach
- Evaluation techniques including ablation studies","N20EMv1, N20EMv2 (multimodal singing datasets), DSing, MIR-ST500, TONAS, ISMIR2014 (benchmark datasets).","Gu, X., Ou, L., Zeng, W., Zhang, J., Wong, N., & Wang, Y. (2024). Automatic Lyric Transcription and Automatic Music Transcription from Multimodal Singing. ACM Transactions on Multimedia Computing, Communications, and Applications, 20(7), Article 209. https://doi.org/10.1145/3651310",Dana
"Chandna, P., Cuesta, H., Petermann, D., & Gómez, E.",2022,"A Deep-Learning Based Framework for Source Separation, Analysis, and Synthesis of Choral Ensembles","- Use of publicly available choral singing datasets for training and evaluation.
- Evaluation of monophonic F0 estimators and proposal of an approximation for perceived F0.
- Synthesis of a single singer voice from unison and transposing/remixing separated stems.
- Listening tests for perceptual evaluation.
- Use of BSS eval metrics for objective evaluation.
- Selection and comparison of deep learning models (Open-Unmix, Conv-TasNet, U-Net, Wave-U-Net).
- Use of pYIN and CREPE for F0 estimation.","- Choral Singing Dataset (CSD), Dagstuhl ChoirSet (DCS), ESMUC Choir Dataset (ECD), Bach Chorales Dataset (BCD).
- Access: CSD and DCS available at https://zenodo.org/","Chandna, P., Cuesta, H., Petermann, D., & Gómez, E. (2022). A Deep-Learning Based Framework for Source Separation, Analysis, and Synthesis of Choral Ensembles. Frontiers in Signal Processing, 2, Article 808594. https://doi.org/10.3389/frsip.2022.808594 ",Dana
"Cairns, P., Daffern, H., & Kearney, G.",2021,Parametric Evaluation of Ensemble Vocal Performance Using an Immersive Network Music Performance Audio System,"- Prototype implementation of the VIIVA-NMP audio system using open-source tools
- JackTrip for audio streaming with UDP, jitter buffering, and FEC
- Auralization using convolution with Ambisonic impulse responses and binaural decoding
- Jack Audio Connection Kit for routing audio
- TIMEX-Lite onset detection method implemented in MATLAB
- Two-way repeated measures ANOVA for statistical analysis","Performance data from ten singers across Europe, organized into five duet pairs, tested in three virtual acoustic environments (recording studio booth, medium hall, cathedral).","Cairns, P., Daffern, H., & Kearney, G. (2021). Parametric Evaluation of Ensemble Vocal Performance Using an Immersive Network Music Performance Audio System. Journal of the Audio Engineering Society, 69(12), 924–933. https://doi.org/10.17743/jaes.2021.0040 ",Dana
"Chandna, P.",2021,Neural Networks For Singing Voice,"- Non-autoregressive WaveNet architecture for spectral envelope synthesis parameters and f0 estimation
- State-of-the-art source separation algorithms for individual voice separation
- Mask-based source separation algorithms for mixture recordings
- Feedforward U-Net based architecture for compressed spectral envelope generation
- NUS corpus for training
- Comparison with NPSS singing voice synthesizer
- WORLD vocoder with reduced dimensions for synthesis
- Deep learning algorithms for SATB choral part separation
- CREPE system for single voice signal synthesis from unison content
- mir_eval library for evaluation with 30 cents pitch tolerance","Choral Singing Dataset (CSD), Bach chorales dataset (BCD), ESMUC dataset, Daghstuhl dataset (DSD)","Chandna, P. (2021). Neural Networks For Singing Voice Extraction In Monaural Polyphonic Music Signals [Doctoral dissertation, Universitat Pompeu Fabra]. UPF e-Repositori.",Dana
"Sarkar, S., Benetos, E., & Sandler, M.",2022,EnsembleSet: A new high quality synthesised dataset for chamber ensemble separation.,"- Data generation using Spitfire BBC Symphony Orchestra library and ensemble scores from RWC Classical Music Database and Mutopia.
- Training a permutation-invariant time-domain separation model using the Dual-path Transformer (DPTNet) architecture.
- Use of PIT (permutation-invariant training) for source separation.
- Data augmentation techniques: gain modulation, channel swap, pitchshifting.
- Training on NVIDIA A100 GPUs using a distributed data parallel back-end.
- Evaluation using metrics like SDR and SI-SDR.","- EnsembleSet.
- Access: Available on Zenodo.","Sarkar, S., Benetos, E., & Sandler, M. (2022). EnsembleSet: A new high quality synthesised dataset for chamber ensemble separation. In Proceedings of the 23rd International Society for Music Information Retrieval Conference (ISMIR) (pp. 625–632). International Society for Music Information Retrieval.",Dana
"Cuesta, H., & Gómez, E.",2022,Voice Assignment in Vocal Quartets Using Deep Learning Models Based on Pitch Salience,"- Two-stage pipeline combining multiple F0 estimation with voice assignment using deep learning.
- Two novel architectures: VoasCNN (fully convolutional) and VoasCLSTM (convolutional LSTM).
- Training using cross-entropy loss minimization.
- Evaluation using F-Score from mir_eval library.
- Post-processing includes locating maximum salience bins and thresholding.","- Synth-salience Choral Set (SSCS), Barbershop Quartets Dataset (BSQ), Cantoría dataset.
- Dataset access: SSCS and Cantoría dataset are hosted on Zenodo.","Cuesta, H., & Gómez, E. (2022). Voice Assignment in Vocal Quartets Using Deep Learning Models Based on Pitch Salience. Transactions of the International Society for Music Information Retrieval, 5(1), 99–112. https://doi.org/10.5334/tismir.121 ",Dana
"Weiß, C., Henzel, B., & Müller, M.",2025,Style Evolution in Western Choral Music: A Corpus-Based Strategy.,"- Computing evolution curves to map musical complexity onto historical timelines
- Use of audio recordings as primary data source
- Deep learning (DL) for pitch-class activation estimation
- Deep convolutional neural network (ResNet) for feature extraction
- Heuristic method for estimating missing work dates based on composers' life spans
- Geometric complexity measure for tonal complexity
- Validation and optimization of parameters using reference curves
- Mixed approach for computing evolution curves using DL and SP features
- Systematic comparison of SP vs. DL feature types","- Carus Audio Corpus (CAC) - 5,700 tracks, 450 years of sacred and choral music.
- Access: Not publicly available due to commercial restrictions; detailed information and preview files available on the Carus-Verlag website.","Weiß, C., Henzel, B., & Müller, M. (2025). Style Evolution in Western Choral Music: A Corpus-Based Strategy. Computational Humanities Research. https://doi.org/10.1017/chr.2025.10016 ",Dana
"Sarkar, S.",2024,Time-domain Music Source Separation for Choirs and Ensembles,"- Deep learning techniques using time-domain models with permutation invariant training (PIT)
- Use of EnsembleSet, a high-quality synthesised dataset for chamber ensemble music
- Fine-tuning for cross-dataset performance improvement
- Optimization of TasNets for high sampling rates and study of hyperparameters
- Novel measure for harmonic complexity
- SI-SDR as loss function
- Data augmentation using torch-audiomentations
- Training on NVIDIA A100 GPUs with distributed data parallel backend","- EnsembleSet, URMP
- Access: EnsembleSet available on Zenodo","Sarkar, S. (2024). Time-domain Music Source Separation for Choirs and Ensembles [Doctoral dissertation, Queen Mary University of London]. Queen Mary Research Online.",Dana
"Schulze-Forster, K., Richard, G., Kelley, L., Doire, C. S. J., & Badeau, R.",2023,Unsupervised Music Source Separation Using Differentiable Parametric Source Models,"- Unsupervised model-based deep learning approach for musical source separation
- Differentiable parametric source-filter model for each source
- Neural network trained to reconstruct mixture by estimating source parameters based on fundamental frequencies
- Deep learning architecture similar to previous work
- Evaluation using Scale-Invariant Source-to-Distortion ratio (SI-SDR)
- Implementation using PyTorch framework
- Re-implementation and extension of Algorithm 1 and all-pole filter","Bach Chorals (BC) dataset, Barbershop Quartet (BQ) dataset, Choral Singing Dataset.","Schulze-Forster, K., Richard, G., Kelley, L., Doire, C. S. J., & Badeau, R. (2023). Unsupervised Music Source Separation Using Differentiable Parametric Source Models. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 31, 1276–1289. https://doi.org/10.1109/TASLP.2023.3252272 ",Dana
"Chadabe, J. ",1996,The history of electronic music as a reflection of structural paradigms,"The author proposes that new and similar paradigms appear in all fields simultaneously. He posits that the two most important developments in the history of electronic music were (1) the opening up of music to all sounds and (2) the development of interactive instruments. He discusses the first development at length, suggesting ways in which it reflected general paradigm shifts in other fields. He then points to ways in which the second development may also reflect broad paradigm shifts, and concludes by speculating about the direction that such paradigmatic changes may be taking in our time.",,"Chadabe, J. (1996). The history of electronic music as a reflection of structural paradigms. Leonardo Music Journal, 6, 41. https://doi.org/10.2307/1513303 ",Yesha
"Batchelor, C., Gooding, J., Marriott, W., Chalashkanov, N., Tucker, N., & Margetts, R.",2024,Musical Instruments / Types (Guitar),"- Creation of dedicated experimental pickups to isolate variables
- Measurement of impedance using a frequency response analyzer
- Analysis of resonant peak and Q-factor variations based on winding count and wire gauge","- Measurements from custom-wound single-coil Stratocaster-style pickups (varying 5000-12000 turns, 42/44 AWG wire).","Batchelor, C., Gooding, J., Marriott, W., Chalashkanov, N., Tucker, N., & Margetts, R. (2024). Guitar Pickups I: Analysis of the effect of winding and wire gauge on single coil electric guitar pickups. arXiv (Cornell University). https://doi.org/10.48550/arxiv.2409.19782",Yesha
"Lee, S. W., Heo, J. H., Lee, S. T., & Gim, G. Y.",2021,Musical Instruments / Types (Drums),"- Feature extraction using Mel Spectrograms
- Convolutional Neural Network (CNN) for classification
- Comparison of hyper-parameters for recognition rates",- IDMT-SMT-Drums data set (acoustic and electronic drum recordings).,"Lee, S. W., Heo, J. H., Lee, S. T., & Gim, G. Y. (2021). A study on drum transcription using machine learning focused on discrimination of acoustic drum and electronic drum sound. In Studies in computational intelligence (pp. 141–153). https://doi.org/10.1007/978-3-030-67008-5_12",Yesha
"Lisena, P., Meroño-Peñuela, A., & Troncy, R.",2021,Technology / Control Standards,"- Graph embedding technique (MIDI2vec) adapted from node2vec
- Representation of MIDI data as graphs (nodes for tempo, programs, notes)
- Random walks on MIDI graphs to generate vector embeddings",- Large corpus of MIDI files converted into graph representations,"Lisena, P., Meroño-Peñuela, A., & Troncy, R. (2021). MIDI2vec: Learning MIDI embeddings for reliable prediction of symbolic music metadata. Semantic Web, 13(3), 357–377. https://doi.org/10.3233/sw-210446",Yesha
"Worrall, K., Yin, Z., & Collins, T.",2024,Technology / Control Standards,"- Development of Cue-Free Express + Pedal (CFE+P) transformer model
- ""In the wild"" comparative evaluation against professional software (Logic Pro, Ableton)
- Subjective listening tests to rate expressivity",- Results from listening studies comparing model outputs vs. human/commercial baselines.,"Worrall, K., Yin, Z., & Collins, T. (2024). Comparative evaluation in the wild: Systems for the expressive rendering of music. IEEE Transactions on Artificial Intelligence, 1–15. https://doi.org/10.1109/tai.2024.3408717",Yesha
"Piao, Z., Frisson, C., Van Kerrebroeck, B., & Wanderley, M. M.",2024,Technology / Sensors & Haptics,"- User study with 20 musically trained participants
- Evaluation of 3 haptic modes (No-FF, Spring, Detent)
- Vibrato mimicry tasks and Likert-scale user feedback","- User performance metrics (Pitch Error, Pitch Deviation) and subjective experience ratings.","Piao, Z., Frisson, C., Van Kerrebroeck, B., & Wanderley, M. M. (2024). Assessing the impact of force feedback in musical knobs on performance and user experience. Actuators, 13(11), 462. https://doi.org/10.3390/act13110462",Yesha
"Lee, J. W., Park, J., Choi, M. J., & Lee, K.",2024,Technology / Sensors & Haptics,"- Differentiable Modal Synthesis (DMSP) framework
- Neural network solving partial differential equations (PDE) for nonlinear strings
- Joint optimization of sound and motion simulation",- Synthesized string sounds and motion data used for ground-truth loss calculation.,"Lee, J. W., Park, J., Choi, M. J., & Lee, K. (2024). Differentiable modal synthesis for physical modeling of planar string sound and motion simulation. arXiv (Cornell University). https://doi.org/10.48550/arxiv.2407.05516",Yesha
